총생활인구수,기온,기압,풍속,운량,일강수량,최대순간풍속풍향,최대풍속풍향,평균풍속,최다풍향,일최심적설,일최심신적설,강수여부,일 미세먼지 농도(㎍/㎥),휴일여부,요일,계절,month,day,영등포구
476620.1439708333,-1.2210272566333678,0.3027081857600217,2.131229781228252,0.050337073552761,0.4,320,290,3.4,290,0.0,0.0,1.0,25.0,0,0,2,6,1,9039.0
476798.156775,-0.9342006340238272,0.3268613579505895,0.0301835610133063,0.6143923464112412,2.0,160,250,2.2,290,0.0,0.0,1.0,0.0,0,1,2,6,2,6581.0
476649.16995,-1.751170402993155,0.8582311461430814,0.7842329240840588,0.8907802501671609,0.0,290,290,2.4,290,0.0,0.0,0.0,56.0,0,2,2,6,3,8504.0
475793.80675,-1.8208429185717467,1.1239160402393271,-0.0378327996292051,1.6760332419601696,0.2,250,270,2.7,250,0.0,0.0,1.0,71.0,0,3,2,6,4,7677.0
474843.6212125,-1.851247446794364,0.8582311461430814,-0.8310207025713121,0.6261087914068473,0.0,320,290,1.8,290,0.0,0.0,0.0,42.0,0,4,2,6,5,8831.0
418746.2908041666,-2.0781671733046685,0.8944609044289332,-0.1770915439348926,0.0607944781190134,0.0,290,290,2.0,290,0.0,0.0,0.0,48.0,1,5,2,6,6,9061.0
414937.9162083333,-1.89395496931592,0.8582311461430814,0.0708380040552918,0.5834571123614504,0.0,180,200,2.3,290,0.0,0.0,0.0,41.0,0,6,2,6,7,8990.0
473801.5159583333,-2.185825860643481,0.9306906627147844,0.7281874023917773,0.1460978362098071,0.0,290,290,2.1,290,0.0,0.0,0.0,39.0,0,0,2,6,8,9146.0
475911.25139166665,-2.2638028053741195,0.7012355269043906,-0.2042592448560171,-0.6617140862764825,0.0,340,290,2.3,320,0.0,0.0,0.0,47.0,0,1,2,6,9,8221.0
481080.8526416667,-2.3848435197130207,1.0635331097629075,1.4092842619493209,0.1979478793921022,6.2,270,340,2.0,290,0.0,0.0,1.0,47.0,0,2,2,6,10,4913.0
477727.0685458333,-2.3993310687765943,1.2688350733827338,-0.2382674251772732,0.2769560353361274,0.0,270,290,2.2,290,0.0,0.0,0.0,0.0,0,3,2,6,11,8498.0
471320.6740708333,-2.105502223203285,1.1359926263346112,-1.8569412915327097,0.7599220510408402,0.0,340,320,1.7,290,0.0,0.0,0.0,0.0,0,4,2,6,12,9043.0
422975.866425,-2.332886061793633,0.7495418712855261,0.3324485108457403,-0.9050856547728696,0.0,290,290,1.9,290,0.0,0.0,0.0,52.0,0,5,2,6,13,7200.0
413731.26703333337,-2.0373552487136464,1.0756096958581918,1.3277811591859474,0.5106922600466502,1.1,320,290,2.9,270,0.0,0.0,1.0,0.0,0,6,2,6,14,8300.0
