일시,총생활인구수
2019-11-11,486305.81
2019-11-12,488237.7675333333
2019-11-13,490302.5190125
2019-11-14,487356.4137166667
2019-11-15,485700.4881625
2019-11-16,441461.59568333335
2019-11-17,435913.6798916666
2019-11-18,485869.7920375
2019-11-19,489178.8048
2019-11-20,488879.280425
2019-11-21,488683.0314458333
2019-11-22,487708.8264541666
2019-11-23,444224.06604166667
2019-11-24,435126.61605
2019-11-25,485240.1669125001
2019-11-26,486638.36154166673
2019-11-27,488319.4605416667
2019-11-28,488164.20165833336
2019-11-29,490191.989625
2019-11-30,451319.40975
2019-12-01,439354.83893333335
2019-12-02,486205.9335
2019-12-03,489605.5449
2019-12-04,487866.7566791666
2019-12-05,487908.487975
2019-12-06,489648.2227375
2019-12-07,450095.1234083333
2019-12-08,439553.03335
2019-12-09,486132.9850208333
2019-12-10,488643.8371958333
2019-12-11,491828.424075
2019-12-12,489310.25896666665
2019-12-13,490356.19004583335
2019-12-14,455676.0070166666
2019-12-15,444478.3885708333
2019-12-16,491111.4239291667
2019-12-17,494107.15745000006
2019-12-18,493714.0231958334
2019-12-19,494076.2741291667
2019-12-20,498862.83042500005
2019-12-21,454024.86480416666
2019-12-22,441799.508125
2019-12-23,492729.300125
2019-12-24,491395.2560166667
2019-12-25,447101.65649583336
2019-12-26,489558.25505
2019-12-27,491922.7131208333
2019-12-28,442390.36819166667
2019-12-29,436722.7791875
2019-12-30,488213.6420208334
2019-12-31,478372.6262666667
2020-01-01,423609.6866875
2020-01-02,487657.4919791667
2020-01-03,491192.48955
2020-01-04,439758.8296375
2020-01-05,437808.9236791667
2020-01-06,493451.676825
2020-01-07,492859.3409333333
2020-01-08,495048.0913416666
2020-01-09,495395.4303541667
2020-01-10,495332.1031708333
2020-01-11,447511.65565416665
2020-01-12,439242.3110833333
2020-01-13,494495.4026458333
2020-01-14,495475.49399166665
2020-01-15,497805.2627166666
2020-01-16,496752.2833708333
2020-01-17,495699.20704583335
2020-01-18,445261.1631666666
2020-01-19,441093.8280875
2020-01-20,494661.98623333336
2020-01-21,496054.81764583336
2020-01-22,494630.465075
2020-01-23,470164.9905958333
2020-01-24,380030.5397916666
2020-01-25,364785.7757
2020-01-26,383992.35880833335
2020-01-27,407755.1853375
2020-01-28,483613.1673375
2020-01-29,493810.06215833337
2020-01-30,495003.6437833333
2020-01-31,493697.02910416666
2020-02-01,435040.4806708333
2020-02-02,431477.525675
2020-02-03,489583.98527916666
2020-02-04,490319.10009583336
2020-02-05,489778.3210833333
2020-02-06,487576.91521666665
2020-02-07,487028.6133541667
2020-02-08,434068.516325
2020-02-09,428712.3355375
2020-02-10,486792.2103291667
2020-02-11,489967.28664166667
2020-02-12,491417.69754583336
2020-02-13,490353.53924583335
2020-02-14,489909.703925
2020-02-15,437663.724425
2020-02-16,433432.8686833333
2020-02-17,486821.3620541667
2020-02-18,491970.3043875
2020-02-19,491668.064575
2020-02-20,489652.9286375
2020-02-21,487424.86576666665
2020-02-22,432692.8772541666
2020-02-23,420206.1296166666
2020-02-24,482264.49829583336
2020-02-25,480554.8426916667
2020-02-26,483618.08680833335
2020-02-27,480107.2316625
2020-02-28,475944.6537333333
2020-02-29,422244.0535375
2020-03-01,414539.67236666667
2020-03-02,473710.7014375
2020-03-03,473402.57065
2020-03-04,474856.07402916666
2020-03-05,475819.2221333333
2020-03-06,473638.8208458333
2020-03-07,423021.03325416666
2020-03-08,414669.8155541667
2020-03-09,479386.1004375
2020-03-10,478861.2910083334
2020-03-11,477800.6550541667
2020-03-12,475774.0829291667
2020-03-13,472214.9426041667
2020-03-14,420890.9700375
2020-03-15,412001.615375
2020-03-16,474114.12426666665
2020-03-17,476378.0987541666
2020-03-18,476379.0795208334
2020-03-19,474286.5736708334
2020-03-20,473801.74127083336
2020-03-21,423522.1742208333
2020-03-22,414763.7960875
2020-03-23,477301.4896125
2020-03-24,478094.16589166666
2020-03-25,476002.5227125
2020-03-26,474731.03624166665
2020-03-27,475525.6493708333
2020-03-28,424574.36115
2020-03-29,418210.1373208333
2020-03-30,477198.9338666666
2020-03-31,479694.51045
2020-04-01,477357.5395833333
2020-04-02,475713.234375
2020-04-03,472310.3734208333
2020-04-04,418816.1028958333
2020-04-05,411469.5671875
