일시,총생활인구수
2021-01-01,394771.1772625
2021-01-02,400224.92140000005
2021-01-03,404194.64878333337
2021-01-04,463540.98984583333
2021-01-05,464148.6869791667
2021-01-06,464150.51639583334
2021-01-07,463164.9929
2021-01-08,463044.22023750003
2021-01-09,420185.06875416666
2021-01-10,410841.50473333336
2021-01-11,465813.8297708333
2021-01-12,465509.84963333333
2021-01-13,466345.4333875
2021-01-14,465881.5612958334
2021-01-15,464517.7250583333
2021-01-16,418664.34932916664
2021-01-17,412083.1378166667
2021-01-18,467075.64283749997
2021-01-19,469548.487675
2021-01-20,470923.2224125
2021-01-21,470726.8424125
2021-01-22,468521.8920166667
2021-01-23,422466.027975
2021-01-24,413363.34619583335
2021-01-25,470496.6595
2021-01-26,471121.31978749996
2021-01-27,471979.8982583333
2021-01-28,470845.9530833333
2021-01-29,472018.44535833335
2021-01-30,424217.35848750005
2021-01-31,417789.61288333335
2021-02-01,473801.86559999996
2021-02-02,475991.65773750003
2021-02-03,476083.29817499995
2021-02-04,477252.1756708333
2021-02-05,475563.64822083333
2021-02-06,424717.22765
2021-02-07,418230.36042916664
2021-02-08,474596.6725666667
2021-02-09,472562.0535833333
2021-02-10,457681.18929166667
2021-02-11,385721.97584166663
2021-02-12,371852.57444166666
2021-02-13,385031.8525041667
2021-02-14,403848.1100333333
2021-02-15,470093.38128750003
2021-02-16,476484.3226875
2021-02-17,478659.0401708333
2021-02-18,478816.40975416667
2021-02-19,475721.0630625
2021-02-20,429498.0237625
2021-02-21,424684.05465
2021-02-22,479528.6111291666
2021-02-23,480828.484275
2021-02-24,483291.2657666667
2021-02-25,482964.6039666667
2021-02-26,486022.5997166667
2021-02-27,437400.34025416663
2021-02-28,426241.73247499997
2021-03-01,428188.47692916665
2021-03-02,490149.857
2021-03-03,483069.0316833334
2021-03-04,484111.17754999996
2021-03-05,483751.72552499996
2021-03-06,436913.95015
2021-03-07,432920.716875
2021-03-08,482216.5871375
2021-03-09,482214.0928583333
2021-03-10,483324.9628125
2021-03-11,484352.3841166667
2021-03-12,483082.71963749995
2021-03-13,438316.79445833334
2021-03-14,431360.18565000006
2021-03-15,479247.193425
2021-03-16,484095.41065
2021-03-17,480666.965425
2021-03-18,480451.9553916667
2021-03-19,479599.208325
2021-03-20,434525.32170416665
2021-03-21,428612.7798375
2021-03-22,480172.9529
2021-03-23,481337.8138875
2021-03-24,482689.48155416665
2021-03-25,481911.5323708334
2021-03-26,480191.18179999996
2021-03-27,433952.08550000004
2021-03-28,428895.51046666666
2021-03-29,480952.01515833335
2021-03-30,483991.26554999995
2021-03-31,485742.555825
2021-04-01,484434.4444833333
2021-04-02,481467.89289583336
2021-04-03,433037.7253666667
2021-04-04,429084.13556666666
2021-04-05,480377.89522083336
2021-04-06,481378.98773750005
2021-04-07,481392.2001791667
2021-04-08,479459.04244166665
2021-04-09,476611.58791249996
2021-04-10,429074.1462375
2021-04-11,423933.18069583335
2021-04-12,477106.4320166667
2021-04-13,478628.4627625
2021-04-14,481584.33270416665
2021-04-15,479733.6907875
2021-04-16,476716.15177916666
2021-04-17,428100.15458750003
2021-04-18,422942.59656250005
2021-04-19,472968.77653333335
2021-04-20,478836.97496666666
2021-04-21,478942.02732916665
2021-04-22,478388.05919583334
2021-04-23,476144.573075
2021-04-24,428591.5338291666
2021-04-25,423194.421725
2021-04-26,477331.4554916667
2021-04-27,478551.5561791667
2021-04-28,479479.76232083334
2021-04-29,479607.4699541666
2021-04-30,477750.476
2021-05-01,429427.48943333334
2021-05-02,424449.845025
2021-05-03,476873.46554166666
2021-05-04,477780.6259666667
2021-05-05,431133.0945458333
2021-05-06,475819.9058583333
2021-05-07,473806.3248291667
2021-05-08,414852.06871666666
2021-05-09,415497.7518083334
2021-05-10,478590.1769208333
2021-05-11,479586.4750916667
2021-05-12,478292.0393291667
2021-05-13,480111.8037291667
2021-05-14,477724.3384416667
2021-05-15,429887.9317416667
2021-05-16,426103.7807041667
2021-05-17,476503.1778333333
2021-05-18,477411.26363749994
2021-05-19,427876.4726916666
2021-05-20,473503.41785416665
2021-05-21,474572.10466666665
2021-05-22,429845.58797083335
2021-05-23,422576.31364999997
2021-05-24,476001.6185125
2021-05-25,480368.97932499996
2021-05-26,480451.05763750005
2021-05-27,478456.64395
2021-05-28,477144.74292916665
2021-05-29,428108.30463333335
2021-05-30,423305.3516625
2021-05-31,478052.93262916664
2021-06-01,478172.00457916665
2021-06-02,479462.4862625
2021-06-03,478503.58681249997
2021-06-04,476251.7382083333
2021-06-05,428647.33043333335
2021-06-06,423228.90959166666
2021-06-07,476079.3036208334
2021-06-08,476547.4454083333
2021-06-09,478780.7218916667
2021-06-10,476399.67059166665
2021-06-11,473937.49405833334
2021-06-12,428310.2474375
2021-06-13,422939.6221541667
2021-06-14,475302.9846708334
2021-06-15,482093.73333749996
2021-06-16,485204.12461666664
2021-06-17,479174.65355833335
2021-06-18,477536.52530000004
2021-06-19,429396.34367083333
2021-06-20,423554.6888375
2021-06-21,478992.725725
2021-06-22,483391.12765416666
2021-06-23,483308.90595000004
2021-06-24,483110.5696208333
2021-06-25,479664.5076541667
2021-06-26,430336.0355875
2021-06-27,421289.7432833333
2021-06-28,480213.2551041667
2021-06-29,474702.12104166666
2021-06-30,484283.97873750003
2021-07-01,484480.3153791667
2021-07-02,480036.1940375
2021-07-03,432769.1749583334
2021-07-04,426987.1745458333
2021-07-05,480697.0191166667
2021-07-06,482186.62727500004
2021-07-07,478159.8470875
2021-07-08,475922.3329166667
2021-07-09,470893.8212458333
2021-07-10,421277.548375
2021-07-11,414805.2467041667
2021-07-12,466646.08225416666
2021-07-13,465633.48634999996
2021-07-14,465397.95125
2021-07-15,467761.3705041667
2021-07-16,461008.68655
2021-07-17,410365.6254125
2021-07-18,407603.28742916667
2021-07-19,463804.4088833334
2021-07-20,464958.60755416664
2021-07-21,466996.77505
2021-07-22,466053.48539166665
2021-07-23,461579.16565416666
2021-07-24,412052.9123083334
2021-07-25,407427.9217666667
2021-07-26,465406.12561249995
2021-07-27,466186.0613416667
2021-07-28,463846.63464166666
2021-07-29,462605.3599375
2021-07-30,458270.79199166666
2021-07-31,407890.0121958333
2021-08-01,404493.4321125
2021-08-02,460056.6351375
2021-08-03,461942.0539958333
2021-08-04,462746.3648416667
2021-08-05,463795.1804416666
2021-08-06,460179.38409583335
2021-08-07,413396.8022333333
2021-08-08,406562.92922916665
2021-08-09,466080.34307916666
2021-08-10,468756.64666666667
2021-08-11,467835.34989583335
2021-08-12,465743.9814791667
2021-08-13,461079.45335
2021-08-14,409376.0536291667
2021-08-15,400243.7054541667
2021-08-16,410582.1908208334
2021-08-17,465381.527175
2021-08-18,469120.41661666665
2021-08-19,469144.73052083334
2021-08-20,465967.1700958333
2021-08-21,422938.49700416665
2021-08-22,418289.289425
2021-08-23,471935.5423208333
2021-08-24,475119.52215833333
2021-08-25,473510.7072583333
2021-08-26,470778.2370916667
2021-08-27,469414.64310416667
2021-08-28,422145.230675
2021-08-29,418735.4879416667
2021-08-30,472504.67073333333
2021-08-31,475008.68710416666
2021-09-01,477138.74689166667
2021-09-02,475399.889775
2021-09-03,473417.97393750004
2021-09-04,425110.6453916666
2021-09-05,421043.9250583334
2021-09-06,474487.520975
2021-09-07,476325.6350375
2021-09-08,477347.5429875
2021-09-09,474302.81764583336
2021-09-10,472179.6664666667
2021-09-11,427979.5060375
2021-09-12,422196.3065041667
2021-09-13,475666.54556249996
2021-09-14,476369.52964583336
2021-09-15,477917.4443208333
2021-09-16,475960.6424375
2021-09-17,465656.2683833333
2021-09-18,406779.56130833336
2021-09-19,382532.50860833336
2021-09-20,363716.13380833337
2021-09-21,369792.0702916667
2021-09-22,404133.9705958333
2021-09-23,462145.4068208334
2021-09-24,467769.72462500003
2021-09-25,425885.5183583333
2021-09-26,421608.6950333333
2021-09-27,474298.38602499996
2021-09-28,474824.674575
2021-09-29,477153.2114541666
2021-09-30,476005.3392333333
2021-10-01,473972.7220166667
2021-10-02,426164.99845416663
2021-10-03,416592.32653749996
2021-10-04,420165.3402875
2021-10-05,476392.30875
2021-10-06,477804.113575
2021-10-07,477909.40455833334
2021-10-08,473907.73103333334
2021-10-09,423031.80899999995
2021-10-10,411041.98552083335
2021-10-11,420077.09962083335
2021-10-12,475525.34243749996
2021-10-13,477233.1318208333
2021-10-14,475156.4080333333
2021-10-15,471811.46589166665
2021-10-16,428606.22205416666
2021-10-17,424739.27379583335
2021-10-18,470543.7865
2021-10-19,475189.4332583333
2021-10-20,475791.00746249995
2021-10-21,474892.1068041667
2021-10-22,471348.41688333335
2021-10-23,427736.02804583334
2021-10-24,422460.6469458333
2021-10-25,475518.85645416664
2021-10-26,476878.83612083335
2021-10-27,477241.52188333333
2021-10-28,475856.55450416665
2021-10-29,472532.13698750007
2021-10-30,428182.9324625
2021-10-31,425049.45496249996
2021-11-01,477945.2973
2021-11-02,479643.56442916667
2021-11-03,480776.29065833334
2021-11-04,479711.8308375
2021-11-05,476731.4093333333
2021-11-06,429088.2427333333
2021-11-07,427079.7935083333
2021-11-08,480446.25691249996
2021-11-09,484170.2758875
2021-11-10,482830.0085041667
2021-11-11,481310.1892833333
2021-11-12,478373.3608375
2021-11-13,431000.00227916666
2021-11-14,425966.99251666665
2021-11-15,477021.0751
2021-11-16,481811.378675
2021-11-17,483182.8801041667
2021-11-18,479781.40867083333
2021-11-19,475978.7543625
2021-11-20,431845.7616166666
2021-11-21,428837.33329166664
2021-11-22,478811.9741125
2021-11-23,482395.9318791667
2021-11-24,482457.19320000004
2021-11-25,482138.8326083333
2021-11-26,479024.96414583334
2021-11-27,437461.48833333334
2021-11-28,428984.565825
2021-11-29,479399.78907916666
2021-11-30,485212.4253958333
2021-12-01,483573.93980416673
2021-12-02,483645.09983333334
2021-12-03,480321.1011458333
2021-12-04,434594.79815833335
2021-12-05,430534.4425833333
2021-12-06,479976.69797499996
2021-12-07,482251.9454166666
2021-12-08,482384.33955833333
2021-12-09,481735.6531125
2021-12-10,479542.3888875
2021-12-11,433600.6618958334
2021-12-12,429585.65739166667
2021-12-13,478911.50889583334
2021-12-14,481180.4551541666
2021-12-15,482862.88179583335
2021-12-16,482695.18002083333
2021-12-17,479253.5685541667
2021-12-18,436388.0797833333
2021-12-19,431272.6584125
2021-12-20,479159.22096666665
2021-12-21,481969.5733625
2021-12-22,481978.21273749997
2021-12-23,482731.9672791667
2021-12-24,475083.0440125
2021-12-25,436553.56982083333
2021-12-26,428387.5858041667
2021-12-27,475550.135975
2021-12-28,477997.8046958333
2021-12-29,478029.0614125
2021-12-30,476656.88084583334
2021-12-31,463258.21165833337
