기준일ID,총생활인구수
20221028,417096.3878266667
20221029,403412.4714691667
20221030,400474.60658983333
20221031,416561.64641133335
20221101,417748.99255633337
20221102,417943.32310783333
20221103,417581.13233033335
20221104,415508.8769655
20221105,400836.138694
20221106,398748.24002333335
20221107,416085.4751268333
20221108,417304.05333416665
20221109,417836.313135
20221110,417559.1622851667
20221111,415159.73203799996
20221112,401125.3717768333
20221113,399473.86334216665
20221114,416329.6753656666
20221115,417886.4180565
20221116,417718.305496
20221117,416411.91014
20221118,413488.6651211667
20221119,401172.806081
20221120,400028.68641616666
20221121,417327.03916283336
20221122,419110.4943313333
20221123,419497.805642
20221124,418824.9561806667
20221125,417504.7630325
20221126,405320.79743416666
20221127,402599.016708
20221128,417573.128901
20221129,419202.4824485
20221130,420237.2098716667
20221201,419749.05004483333
20221202,418552.1599618334
