일시,총생활인구수
2020-01-01,423609.6866875
2020-01-02,487657.4919791667
2020-01-03,491192.48955
2020-01-04,439758.8296375
2020-01-05,437808.9236791667
2020-01-06,493451.676825
2020-01-07,492859.3409333333
2020-01-08,495048.09134166664
2020-01-09,495395.4303541667
2020-01-10,495332.1031708333
2020-01-11,447511.65565416665
2020-01-12,439242.31108333333
2020-01-13,494495.4026458333
2020-01-14,495475.49399166665
2020-01-15,497805.2627166666
2020-01-16,496752.2833708333
2020-01-17,495699.20704583335
2020-01-18,445261.16316666664
2020-01-19,441093.8280875
2020-01-20,494661.98623333336
2020-01-21,496054.81764583336
2020-01-22,494630.465075
2020-01-23,470164.99059583334
2020-01-24,380030.53979166667
2020-01-25,364785.77569999994
2020-01-26,383992.35880833335
2020-01-27,407755.1853375
2020-01-28,483613.1673375
2020-01-29,493810.06215833337
2020-01-30,495003.6437833333
2020-01-31,493697.02910416666
2020-02-01,435040.4806708333
2020-02-02,431477.525675
2020-02-03,489583.98527916666
2020-02-04,490319.10009583336
2020-02-05,489778.32108333334
2020-02-06,487576.91521666665
2020-02-07,487028.6133541667
2020-02-08,434068.516325
2020-02-09,428712.3355375
2020-02-10,486792.2103291667
2020-02-11,489967.28664166667
2020-02-12,491417.69754583336
2020-02-13,490353.53924583335
2020-02-14,489909.703925
2020-02-15,437663.72442499996
2020-02-16,433432.86868333333
2020-02-17,486821.3620541667
2020-02-18,491970.3043875
2020-02-19,491668.06457499997
2020-02-20,489652.9286375
2020-02-21,487424.86576666665
2020-02-22,432692.87725416664
2020-02-23,420206.12961666664
2020-02-24,482264.49829583336
2020-02-25,480554.8426916667
2020-02-26,483618.08680833335
2020-02-27,480107.2316625
2020-02-28,475944.65373333334
2020-02-29,422244.05353750003
2020-03-01,414539.67236666667
2020-03-02,473710.7014375
2020-03-03,473402.57064999995
2020-03-04,474856.07402916666
2020-03-05,475819.22213333333
2020-03-06,473638.82084583334
2020-03-07,423021.03325416666
2020-03-08,414669.8155541667
2020-03-09,479386.1004375
2020-03-10,478861.2910083334
2020-03-11,477800.6550541667
2020-03-12,475774.0829291667
2020-03-13,472214.9426041667
2020-03-14,420890.97003749997
2020-03-15,412001.615375
2020-03-16,474114.12426666665
2020-03-17,476378.0987541666
2020-03-18,476379.0795208334
2020-03-19,474286.5736708334
2020-03-20,473801.74127083336
2020-03-21,423522.1742208333
2020-03-22,414763.7960875
2020-03-23,477301.4896125
2020-03-24,478094.16589166666
2020-03-25,476002.5227125
2020-03-26,474731.03624166665
2020-03-27,475525.6493708333
2020-03-28,424574.36115
2020-03-29,418210.13732083334
2020-03-30,477198.93386666663
2020-03-31,479694.51045
2020-04-01,477357.5395833333
2020-04-02,475713.234375
2020-04-03,472310.3734208333
2020-04-04,418816.1028958333
2020-04-05,411469.5671875
2020-04-06,474631.2691833333
2020-04-07,474207.28886666667
2020-04-08,474756.7735791667
2020-04-09,475464.55079583335
2020-04-10,472658.7460125
2020-04-11,420263.3395041667
2020-04-12,409914.0988041667
2020-04-13,474654.1000291666
2020-04-14,476909.9841875
2020-04-15,423215.0271
2020-04-16,474241.9601458334
2020-04-17,474684.03104166663
2020-04-18,424136.2063125
2020-04-19,413434.5899041667
2020-04-20,478159.38449583336
2020-04-21,479945.19224583334
2020-04-22,477822.05025833333
2020-04-23,479422.78228750004
2020-04-24,476932.15003333334
2020-04-25,423703.0700333333
2020-04-26,415423.992175
2020-04-27,479044.19289583334
2020-04-28,481233.31850833335
2020-04-29,481162.6836833334
2020-04-30,407451.57407083333
2020-05-01,397813.6149708333
2020-05-02,394606.44405833335
2020-05-03,399157.3812791666
2020-05-04,453816.7937291667
2020-05-05,419333.8840125
2020-05-06,482155.2889
2020-05-07,483844.01077083335
2020-05-08,480087.76035000006
2020-05-09,424771.53928333335
2020-05-10,415336.7004958333
2020-05-11,478476.57951666665
2020-05-12,480631.48569166666
2020-05-13,482026.45758333337
2020-05-14,481068.2345791667
2020-05-15,479335.1400666667
2020-05-16,426600.15456666664
2020-05-17,419586.1276208333
2020-05-18,477983.3966625
2020-05-19,480319.234425
2020-05-20,480871.1024875
2020-05-21,479686.9301208334
2020-05-22,476720.4393916666
2020-05-23,427552.0676416667
2020-05-24,417999.5674666667
2020-05-25,478493.7073458333
2020-05-26,481467.8326791667
2020-05-27,482692.9487875
2020-05-28,481378.9795875
2020-05-29,478475.17305000004
2020-05-30,426513.87364999996
2020-05-31,416885.64496666664
2020-06-01,476620.14397083333
2020-06-02,476798.156775
2020-06-03,476649.16995
2020-06-04,475793.80675
2020-06-05,474843.6212125
2020-06-06,418746.29080416664
2020-06-07,414937.91620833334
2020-06-08,473801.51595833333
2020-06-09,475911.25139166665
2020-06-10,481080.8526416667
2020-06-11,477727.0685458333
2020-06-12,471320.6740708333
2020-06-13,422975.86642499996
2020-06-14,413731.26703333337
2020-06-15,473002.0845333333
2020-06-16,474050.5545708334
2020-06-17,475247.9256708333
2020-06-18,473768.89290833334
2020-06-19,471918.2526
2020-06-20,422265.542175
2020-06-21,414174.2094458333
2020-06-22,472019.1651833334
2020-06-23,473067.774075
2020-06-24,472668.7875291666
2020-06-25,473895.92179583333
2020-06-26,473306.28746666666
2020-06-27,424085.35494583333
2020-06-28,414501.62364999996
2020-06-29,474101.5083708333
2020-06-30,478966.0978208333
2020-07-01,478566.3241375
2020-07-02,474381.4434583333
2020-07-03,473586.4690333333
2020-07-04,422980.3785125
2020-07-05,416000.630375
2020-07-06,474461.43460833334
2020-07-07,474713.66095
2020-07-08,476365.6079958333
2020-07-09,475245.2751458333
2020-07-10,476772.8442791667
2020-07-11,428501.60723333334
2020-07-12,415092.9618791667
2020-07-13,478662.5887166667
2020-07-14,481797.3559291667
2020-07-15,482585.2521208333
2020-07-16,479767.2684625
2020-07-17,477641.74415
2020-07-18,425219.54079583334
2020-07-19,418517.71304583334
2020-07-20,478328.794125
2020-07-21,482010.6917291667
2020-07-22,482128.05916666664
2020-07-23,482123.1445583333
2020-07-24,479646.8224791666
2020-07-25,427185.8259291667
2020-07-26,417014.2492458334
2020-07-27,476922.3698166667
2020-07-28,479637.90502916666
2020-07-29,480109.99542916665
2020-07-30,480010.8715958333
2020-07-31,475377.33997916663
2020-08-01,415368.0309708333
2020-08-02,408567.34825
2020-08-03,467339.02213750005
2020-08-04,475165.2908125
2020-08-05,475966.301825
2020-08-06,474327.35682499997
2020-08-07,473310.2860875
2020-08-08,422077.0744666667
2020-08-09,414600.2699708333
2020-08-10,473501.05927499995
2020-08-11,479226.26430833334
2020-08-12,478665.7920541666
2020-08-13,475947.011
2020-08-14,470716.2942958333
2020-08-15,408835.2735333333
2020-08-16,398680.94551666663
2020-08-17,411867.831375
2020-08-18,467811.36204999994
